student_id,subject_id,faculty_id,date,status
23AIML001,AI701,FACAIDS070,2024-08-02,present
23AIML001,AI701,FACAIDS070,2024-08-05,present
23AIML001,AI701,FACAIDS070,2024-08-07,absent
23AIML001,AI701,FACAIDS070,2024-08-08,absent
23AIML001,AI701,FACAIDS070,2024-08-10,present
23AIML001,AI701,FACAIDS070,2024-08-14,present
23AIML001,AI701,FACAIDS070,2024-08-20,present
23AIML001,AI701,FACAIDS070,2024-08-22,present
23AIML001,AI701,FACAIDS070,2024-08-23,absent
23AIML001,AI701,FACAIDS070,2024-08-26,present
23AIML001,AI701,FACAIDS070,2024-08-29,present
23AIML001,AI701,FACAIDS070,2024-08-30,present
23AIML001,AI701,FACAIDS070,2024-09-03,present
23AIML001,AI701,FACAIDS070,2024-09-07,absent
23AIML001,AI701,FACAIDS070,2024-09-10,present
23AIML001,AI701,FACAIDS070,2024-09-13,present
23AIML001,AI701,FACAIDS070,2024-09-14,present
23AIML001,AI701,FACAIDS070,2024-09-16,present
23AIML001,AI701,FACAIDS070,2024-09-17,absent
23AIML001,AI701,FACAIDS070,2024-09-19,present
23AIML001,AI701,FACAIDS070,2024-09-20,present
23AIML001,AI701,FACAIDS070,2024-09-21,present
23AIML001,AI701,FACAIDS070,2024-09-24,present
23AIML001,AI701,FACAIDS070,2024-09-25,present
23AIML001,AI701,FACAIDS070,2024-09-26,absent
23AIML001,AI701,FACAIDS070,2024-09-28,present
23AIML001,AI701,FACAIDS070,2024-09-30,present
23AIML001,AI701,FACAIDS070,2024-10-01,present
23AIML001,AI701,FACAIDS070,2024-10-04,present
23AIML001,AI701,FACAIDS070,2024-10-07,present
23AIML001,AI701,FACAIDS070,2024-10-08,present
23AIML001,AI701,FACAIDS070,2024-10-10,present
23AIML001,AI701,FACAIDS070,2024-10-11,present
23AIML001,AI701,FACAIDS070,2024-10-16,present
23AIML001,AI701,FACAIDS070,2024-10-17,present
23AIML001,AI701,FACAIDS070,2024-10-19,present
23AIML001,AI701,FACAIDS070,2024-10-21,absent
23AIML001,AI701,FACAIDS070,2024-10-24,absent
23AIML001,AI701,FACAIDS070,2024-10-29,present
23AIML001,AI701,FACAIDS070,2024-10-31,present
23AIML001,AI702,FACAIDS063,2024-08-01,absent
23AIML001,AI702,FACAIDS063,2024-08-02,present
23AIML001,AI702,FACAIDS063,2024-08-05,present
23AIML001,AI702,FACAIDS063,2024-08-07,present
23AIML001,AI702,FACAIDS063,2024-08-08,present
23AIML001,AI702,FACAIDS063,2024-08-10,absent
23AIML001,AI702,FACAIDS063,2024-08-12,present
23AIML001,AI702,FACAIDS063,2024-08-13,present
23AIML001,AI702,FACAIDS063,2024-08-14,present
23AIML001,AI702,FACAIDS063,2024-08-15,present
23AIML001,AI702,FACAIDS063,2024-08-17,present
23AIML001,AI702,FACAIDS063,2024-08-23,present
23AIML001,AI702,FACAIDS063,2024-08-27,present
23AIML001,AI702,FACAIDS063,2024-08-28,present
23AIML001,AI702,FACAIDS063,2024-08-30,present
23AIML001,AI702,FACAIDS063,2024-09-03,present
23AIML001,AI702,FACAIDS063,2024-09-05,present
23AIML001,AI702,FACAIDS063,2024-09-07,present
23AIML001,AI702,FACAIDS063,2024-09-09,present
23AIML001,AI702,FACAIDS063,2024-09-11,present
23AIML001,AI702,FACAIDS063,2024-09-14,present
23AIML001,AI702,FACAIDS063,2024-09-17,absent
23AIML001,AI702,FACAIDS063,2024-09-21,absent
23AIML001,AI702,FACAIDS063,2024-09-23,present
23AIML001,AI702,FACAIDS063,2024-09-26,present
23AIML001,AI702,FACAIDS063,2024-09-27,present
23AIML001,AI702,FACAIDS063,2024-09-28,present
23AIML001,AI702,FACAIDS063,2024-09-30,present
23AIML001,AI702,FACAIDS063,2024-10-03,present
23AIML001,AI702,FACAIDS063,2024-10-04,absent
23AIML001,AI702,FACAIDS063,2024-10-05,present
23AIML001,AI702,FACAIDS063,2024-10-08,absent
23AIML001,AI702,FACAIDS063,2024-10-09,absent
23AIML001,AI702,FACAIDS063,2024-10-10,present
23AIML001,AI702,FACAIDS063,2024-10-12,present
23AIML001,AI702,FACAIDS063,2024-10-15,present
23AIML001,AI702,FACAIDS063,2024-10-22,absent
23AIML001,AI702,FACAIDS063,2024-10-26,present
23AIML001,AI702,FACAIDS063,2024-10-29,present
23AIML001,AI702,FACAIDS063,2024-10-30,present
23AIML001,AI703,FACAIDS063,2024-08-02,present
23AIML001,AI703,FACAIDS063,2024-08-03,present
23AIML001,AI703,FACAIDS063,2024-08-06,present
23AIML001,AI703,FACAIDS063,2024-08-07,present
23AIML001,AI703,FACAIDS063,2024-08-08,present
23AIML001,AI703,FACAIDS063,2024-08-10,present
23AIML001,AI703,FACAIDS063,2024-08-13,present
23AIML001,AI703,FACAIDS063,2024-08-14,absent
23AIML001,AI703,FACAIDS063,2024-08-15,present
23AIML001,AI703,FACAIDS063,2024-08-16,present
23AIML001,AI703,FACAIDS063,2024-08-17,present
23AIML001,AI703,FACAIDS063,2024-08-21,present
23AIML001,AI703,FACAIDS063,2024-08-24,absent
23AIML001,AI703,FACAIDS063,2024-08-26,present
23AIML001,AI703,FACAIDS063,2024-09-09,present
23AIML001,AI703,FACAIDS063,2024-09-14,present
23AIML001,AI703,FACAIDS063,2024-09-16,present
23AIML001,AI703,FACAIDS063,2024-09-17,present
23AIML001,AI703,FACAIDS063,2024-09-19,present
23AIML001,AI703,FACAIDS063,2024-09-20,present
23AIML001,AI703,FACAIDS063,2024-09-27,present
23AIML001,AI703,FACAIDS063,2024-10-02,present
23AIML001,AI703,FACAIDS063,2024-10-04,present
23AIML001,AI703,FACAIDS063,2024-10-05,present
23AIML001,AI703,FACAIDS063,2024-10-07,present
23AIML001,AI703,FACAIDS063,2024-10-08,present
23AIML001,AI703,FACAIDS063,2024-10-09,present
23AIML001,AI703,FACAIDS063,2024-10-11,present
23AIML001,AI703,FACAIDS063,2024-10-12,present
23AIML001,AI703,FACAIDS063,2024-10-15,present
23AIML001,AI703,FACAIDS063,2024-10-16,present
23AIML001,AI703,FACAIDS063,2024-10-19,present
23AIML001,AI703,FACAIDS063,2024-10-24,present
23AIML001,AI703,FACAIDS063,2024-10-25,present
23AIML001,AI703,FACAIDS063,2024-10-26,present
23AIML001,AI703,FACAIDS063,2024-10-28,present
23AIML001,AI703,FACAIDS063,2024-10-29,absent
23AIML001,AI703,FACAIDS063,2024-10-30,present
23AIML001,AI704,FACAIDS067,2024-08-01,present
23AIML001,AI704,FACAIDS067,2024-08-05,present
23AIML001,AI704,FACAIDS067,2024-08-07,present
23AIML001,AI704,FACAIDS067,2024-08-08,present
23AIML001,AI704,FACAIDS067,2024-08-10,present
